SBY 15:14:49 [SPIMaster] Copy 'SPIMaster.sv' to 'SPIMaster/src/SPIMaster.sv'.
SBY 15:14:49 [SPIMaster] engine_0: smtbmc --dumpsmt2 yices
SBY 15:14:49 [SPIMaster] base: starting process "cd SPIMaster/src; yosys -ql ../model/design.log ../model/design.ys"
SBY 15:14:49 [SPIMaster] base: Warning: Yosys has only limited support for tri-state logic at the moment. (SPIMaster.sv:578)
SBY 15:14:49 [SPIMaster] base: SPIMaster.sv:108: Warning: Identifier `\r_Slave_RX_Byte' is implicitly declared.
SBY 15:14:49 [SPIMaster] base: Warning: Async reset value `\r_TX_Byte [7]' is not constant!
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_DV is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [15] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [14] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [13] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [12] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [11] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [10] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [9] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [8] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [7] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [6] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [5] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [4] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [3] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [2] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [1] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Slave_TX_Byte [0] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [15] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [14] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [13] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [12] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [11] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [10] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [9] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [8] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [7] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [6] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [5] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [4] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [3] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [2] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [1] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Master_TX_Byte [0] is used but has no driver.
SBY 15:14:49 [SPIMaster] base: Warning: Wire Top.\r_Clk is used but has no driver.
SBY 15:14:50 [SPIMaster] base: finished (returncode=0)
SBY 15:14:50 [SPIMaster] smt2: starting process "cd SPIMaster/model; yosys -ql design_smt2.log design_smt2.ys"
SBY 15:14:50 [SPIMaster] smt2: finished (returncode=0)
SBY 15:14:50 [SPIMaster] engine_0.basecase: starting process "cd SPIMaster; yosys-smtbmc -s yices --presat --unroll --dump-smt2 engine_0/trace.smt2 --noprogress -t 180  --append 0 --dump-vcd engine_0/trace.vcd --dump-vlogtb engine_0/trace_tb.v --dump-smtc engine_0/trace.smtc model/design_smt2.smt2"
SBY 15:14:50 [SPIMaster] engine_0.induction: starting process "cd SPIMaster; yosys-smtbmc -s yices --presat --unroll -i --dump-smt2 engine_0/trace_induct.smt2 --noprogress -t 180  --append 0 --dump-vcd engine_0/trace_induct.vcd --dump-vlogtb engine_0/trace_induct_tb.v --dump-smtc engine_0/trace_induct.smtc model/design_smt2.smt2"
SBY 15:14:58 [SPIMaster] engine_0.basecase: ##   0:00:07  Checking assumptions in step 24..
SBY 15:14:58 [SPIMaster] engine_0.basecase: ##   0:00:07  Checking assertions in step 24..
SBY 15:14:58 [SPIMaster] engine_0.basecase: ##   0:00:08  Checking assumptions in step 25..
SBY 15:14:58 [SPIMaster] engine_0.basecase: ##   0:00:08  Checking assertions in step 25..
SBY 15:14:59 [SPIMaster] engine_0.basecase: ##   0:00:08  Checking assumptions in step 26..
SBY 15:14:59 [SPIMaster] engine_0.basecase: ##   0:00:08  Checking assertions in step 26..
SBY 15:14:59 [SPIMaster] engine_0.basecase: ##   0:00:08  Checking assumptions in step 27..
SBY 15:14:59 [SPIMaster] engine_0.basecase: ##   0:00:08  Checking assertions in step 27..
SBY 15:15:00 [SPIMaster] engine_0.basecase: ##   0:00:09  Checking assumptions in step 28..
SBY 15:15:00 [SPIMaster] engine_0.basecase: ##   0:00:09  Checking assertions in step 28..
SBY 15:15:00 [SPIMaster] engine_0.basecase: ##   0:00:10  Checking assumptions in step 29..
SBY 15:15:00 [SPIMaster] engine_0.basecase: ##   0:00:10  Checking assertions in step 29..
SBY 15:15:01 [SPIMaster] engine_0.basecase: ##   0:00:10  Checking assumptions in step 30..
SBY 15:15:01 [SPIMaster] engine_0.basecase: ##   0:00:10  Checking assertions in step 30..
SBY 15:15:02 [SPIMaster] engine_0.basecase: ##   0:00:11  Checking assumptions in step 31..
SBY 15:15:02 [SPIMaster] engine_0.basecase: ##   0:00:11  Checking assertions in step 31..
SBY 15:15:02 [SPIMaster] engine_0.basecase: ##   0:00:11  Checking assumptions in step 32..
SBY 15:15:02 [SPIMaster] engine_0.basecase: ##   0:00:11  Checking assertions in step 32..
SBY 15:15:03 [SPIMaster] engine_0.basecase: ##   0:00:12  Checking assumptions in step 33..
SBY 15:15:03 [SPIMaster] engine_0.basecase: ##   0:00:12  Checking assertions in step 33..
SBY 15:15:03 [SPIMaster] engine_0.basecase: ##   0:00:12  Checking assumptions in step 34..
SBY 15:15:03 [SPIMaster] engine_0.basecase: ##   0:00:12  Checking assertions in step 34..
SBY 15:15:04 [SPIMaster] engine_0.basecase: ##   0:00:13  Checking assumptions in step 35..
SBY 15:15:04 [SPIMaster] engine_0.basecase: ##   0:00:13  Checking assertions in step 35..
SBY 15:15:05 [SPIMaster] engine_0.basecase: ##   0:00:14  Checking assumptions in step 36..
SBY 15:15:05 [SPIMaster] engine_0.basecase: ##   0:00:14  Checking assertions in step 36..
SBY 15:15:05 [SPIMaster] engine_0.basecase: ##   0:00:15  Checking assumptions in step 37..
SBY 15:15:05 [SPIMaster] engine_0.basecase: ##   0:00:15  Checking assertions in step 37..
SBY 15:15:06 [SPIMaster] engine_0.basecase: ##   0:00:15  Checking assumptions in step 38..
SBY 15:15:06 [SPIMaster] engine_0.basecase: ##   0:00:15  Checking assertions in step 38..
SBY 15:15:06 [SPIMaster] engine_0.basecase: ##   0:00:16  Checking assumptions in step 39..
SBY 15:15:06 [SPIMaster] engine_0.basecase: ##   0:00:16  Checking assertions in step 39..
SBY 15:15:07 [SPIMaster] engine_0.basecase: ##   0:00:16  Checking assumptions in step 40..
SBY 15:15:07 [SPIMaster] engine_0.basecase: ##   0:00:16  Checking assertions in step 40..
SBY 15:15:08 [SPIMaster] engine_0.basecase: ##   0:00:17  Checking assumptions in step 41..
SBY 15:15:08 [SPIMaster] engine_0.basecase: ##   0:00:17  Checking assertions in step 41..
SBY 15:15:09 [SPIMaster] engine_0.basecase: ##   0:00:18  Checking assumptions in step 42..
SBY 15:15:09 [SPIMaster] engine_0.basecase: ##   0:00:18  Checking assertions in step 42..
SBY 15:15:09 [SPIMaster] engine_0.basecase: ##   0:00:18  Checking assumptions in step 43..
SBY 15:15:09 [SPIMaster] engine_0.basecase: ##   0:00:18  Checking assertions in step 43..
SBY 15:15:10 [SPIMaster] engine_0.basecase: ##   0:00:19  Checking assumptions in step 44..
SBY 15:15:10 [SPIMaster] engine_0.basecase: ##   0:00:19  Checking assertions in step 44..
SBY 15:15:11 [SPIMaster] engine_0.basecase: ##   0:00:20  Checking assumptions in step 45..
SBY 15:15:11 [SPIMaster] engine_0.basecase: ##   0:00:20  Checking assertions in step 45..
SBY 15:15:11 [SPIMaster] engine_0.basecase: ##   0:00:20  Checking assumptions in step 46..
SBY 15:15:11 [SPIMaster] engine_0.basecase: ##   0:00:20  Checking assertions in step 46..
SBY 15:15:12 [SPIMaster] engine_0.basecase: ##   0:00:21  Checking assumptions in step 47..
SBY 15:15:12 [SPIMaster] engine_0.basecase: ##   0:00:21  Checking assertions in step 47..
SBY 15:15:13 [SPIMaster] engine_0.basecase: ##   0:00:22  Checking assumptions in step 48..
SBY 15:15:13 [SPIMaster] engine_0.basecase: ##   0:00:22  Checking assertions in step 48..
SBY 15:15:13 [SPIMaster] engine_0.basecase: ##   0:00:22  Checking assumptions in step 49..
SBY 15:15:13 [SPIMaster] engine_0.basecase: ##   0:00:22  Checking assertions in step 49..
SBY 15:15:14 [SPIMaster] engine_0.basecase: ##   0:00:23  Checking assumptions in step 50..
SBY 15:15:14 [SPIMaster] engine_0.basecase: ##   0:00:23  Checking assertions in step 50..
SBY 15:15:15 [SPIMaster] engine_0.basecase: ##   0:00:24  Checking assumptions in step 51..
SBY 15:15:15 [SPIMaster] engine_0.basecase: ##   0:00:24  Checking assertions in step 51..
SBY 15:15:15 [SPIMaster] engine_0.basecase: ##   0:00:24  Checking assumptions in step 52..
SBY 15:15:15 [SPIMaster] engine_0.basecase: ##   0:00:24  Checking assertions in step 52..
SBY 15:15:16 [SPIMaster] engine_0.basecase: ##   0:00:25  Checking assumptions in step 53..
SBY 15:15:16 [SPIMaster] engine_0.basecase: ##   0:00:25  Checking assertions in step 53..
SBY 15:15:17 [SPIMaster] engine_0.basecase: ##   0:00:26  Checking assumptions in step 54..
SBY 15:15:17 [SPIMaster] engine_0.basecase: ##   0:00:26  Checking assertions in step 54..
SBY 15:15:18 [SPIMaster] engine_0.basecase: ##   0:00:27  Checking assumptions in step 55..
SBY 15:15:18 [SPIMaster] engine_0.basecase: ##   0:00:27  Checking assertions in step 55..
SBY 15:15:18 [SPIMaster] engine_0.basecase: ##   0:00:27  Checking assumptions in step 56..
SBY 15:15:18 [SPIMaster] engine_0.basecase: ##   0:00:27  Checking assertions in step 56..
SBY 15:15:19 [SPIMaster] engine_0.basecase: ##   0:00:28  Checking assumptions in step 57..
SBY 15:15:19 [SPIMaster] engine_0.basecase: ##   0:00:28  Checking assertions in step 57..
SBY 15:15:19 [SPIMaster] engine_0.basecase: ##   0:00:29  Checking assumptions in step 58..
SBY 15:15:19 [SPIMaster] engine_0.basecase: ##   0:00:29  Checking assertions in step 58..
SBY 15:15:20 [SPIMaster] engine_0.basecase: ##   0:00:29  Checking assumptions in step 59..
SBY 15:15:20 [SPIMaster] engine_0.basecase: ##   0:00:29  Checking assertions in step 59..
SBY 15:15:21 [SPIMaster] engine_0.basecase: ##   0:00:30  Checking assumptions in step 60..
SBY 15:15:21 [SPIMaster] engine_0.basecase: ##   0:00:30  Checking assertions in step 60..
SBY 15:15:22 [SPIMaster] engine_0.basecase: ##   0:00:31  Checking assumptions in step 61..
SBY 15:15:22 [SPIMaster] engine_0.basecase: ##   0:00:31  Checking assertions in step 61..
SBY 15:15:23 [SPIMaster] engine_0.basecase: ##   0:00:32  Checking assumptions in step 62..
SBY 15:15:23 [SPIMaster] engine_0.basecase: ##   0:00:32  Checking assertions in step 62..
SBY 15:15:24 [SPIMaster] engine_0.basecase: ##   0:00:33  Checking assumptions in step 63..
SBY 15:15:24 [SPIMaster] engine_0.basecase: ##   0:00:33  Checking assertions in step 63..
SBY 15:15:24 [SPIMaster] engine_0.basecase: ##   0:00:33  Checking assumptions in step 64..
SBY 15:15:24 [SPIMaster] engine_0.basecase: ##   0:00:33  Checking assertions in step 64..
SBY 15:15:25 [SPIMaster] engine_0.basecase: ##   0:00:34  Checking assumptions in step 65..
SBY 15:15:25 [SPIMaster] engine_0.basecase: ##   0:00:34  Checking assertions in step 65..
SBY 15:15:26 [SPIMaster] engine_0.basecase: ##   0:00:35  Checking assumptions in step 66..
SBY 15:15:26 [SPIMaster] engine_0.basecase: ##   0:00:35  Checking assertions in step 66..
SBY 15:15:27 [SPIMaster] engine_0.basecase: ##   0:00:36  Checking assumptions in step 67..
SBY 15:15:27 [SPIMaster] engine_0.basecase: ##   0:00:36  Checking assertions in step 67..
SBY 15:15:28 [SPIMaster] engine_0.basecase: ##   0:00:37  Checking assumptions in step 68..
SBY 15:15:28 [SPIMaster] engine_0.basecase: ##   0:00:37  Checking assertions in step 68..
SBY 15:15:29 [SPIMaster] engine_0.basecase: ##   0:00:38  Checking assumptions in step 69..
SBY 15:15:29 [SPIMaster] engine_0.basecase: ##   0:00:38  Checking assertions in step 69..
SBY 15:15:30 [SPIMaster] engine_0.basecase: ##   0:00:39  Checking assumptions in step 70..
SBY 15:15:30 [SPIMaster] engine_0.basecase: ##   0:00:39  Checking assertions in step 70..
SBY 15:15:31 [SPIMaster] engine_0.basecase: ##   0:00:40  Checking assumptions in step 71..
SBY 15:15:31 [SPIMaster] engine_0.basecase: ##   0:00:40  Checking assertions in step 71..
SBY 15:15:32 [SPIMaster] engine_0.basecase: ##   0:00:41  Checking assumptions in step 72..
SBY 15:15:32 [SPIMaster] engine_0.basecase: ##   0:00:41  Checking assertions in step 72..
SBY 15:15:33 [SPIMaster] engine_0.basecase: ##   0:00:42  Checking assumptions in step 73..
SBY 15:15:33 [SPIMaster] engine_0.basecase: ##   0:00:42  Checking assertions in step 73..
SBY 15:15:34 [SPIMaster] engine_0.basecase: ##   0:00:43  Checking assumptions in step 74..
SBY 15:15:34 [SPIMaster] engine_0.basecase: ##   0:00:43  Checking assertions in step 74..
SBY 15:15:35 [SPIMaster] engine_0.basecase: ##   0:00:44  Checking assumptions in step 75..
SBY 15:15:35 [SPIMaster] engine_0.basecase: ##   0:00:44  Checking assertions in step 75..
SBY 15:15:36 [SPIMaster] engine_0.basecase: ##   0:00:45  Checking assumptions in step 76..
SBY 15:15:36 [SPIMaster] engine_0.basecase: ##   0:00:45  Checking assertions in step 76..
SBY 15:15:37 [SPIMaster] engine_0.basecase: ##   0:00:46  Checking assumptions in step 77..
SBY 15:15:37 [SPIMaster] engine_0.basecase: ##   0:00:46  Checking assertions in step 77..
SBY 15:15:38 [SPIMaster] engine_0.basecase: ##   0:00:47  Checking assumptions in step 78..
SBY 15:15:38 [SPIMaster] engine_0.basecase: ##   0:00:47  Checking assertions in step 78..
SBY 15:15:39 [SPIMaster] engine_0.basecase: ##   0:00:48  Checking assumptions in step 79..
SBY 15:15:39 [SPIMaster] engine_0.basecase: ##   0:00:48  Checking assertions in step 79..
SBY 15:15:40 [SPIMaster] engine_0.basecase: ##   0:00:49  Checking assumptions in step 80..
SBY 15:15:40 [SPIMaster] engine_0.basecase: ##   0:00:49  Checking assertions in step 80..
SBY 15:15:41 [SPIMaster] engine_0.basecase: ##   0:00:50  Checking assumptions in step 81..
SBY 15:15:41 [SPIMaster] engine_0.basecase: ##   0:00:50  Checking assertions in step 81..
SBY 15:15:42 [SPIMaster] engine_0.basecase: ##   0:00:51  Checking assumptions in step 82..
SBY 15:15:42 [SPIMaster] engine_0.basecase: ##   0:00:51  Checking assertions in step 82..
SBY 15:15:43 [SPIMaster] engine_0.basecase: ##   0:00:52  Checking assumptions in step 83..
SBY 15:15:43 [SPIMaster] engine_0.basecase: ##   0:00:52  Checking assertions in step 83..
SBY 15:15:44 [SPIMaster] engine_0.basecase: ##   0:00:53  Checking assumptions in step 84..
SBY 15:15:44 [SPIMaster] engine_0.basecase: ##   0:00:53  Checking assertions in step 84..
SBY 15:15:45 [SPIMaster] engine_0.basecase: ##   0:00:54  Checking assumptions in step 85..
SBY 15:15:45 [SPIMaster] engine_0.basecase: ##   0:00:54  Checking assertions in step 85..
SBY 15:15:46 [SPIMaster] engine_0.basecase: ##   0:00:56  Checking assumptions in step 86..
SBY 15:15:46 [SPIMaster] engine_0.basecase: ##   0:00:56  Checking assertions in step 86..
